Adresas,Kaina,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Namo numeris:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Ypatybės:,Papildoma įranga:,Apsauga:,Papildomos patalpos:,Unikalus daikto numeris(RC numeris):
"Klaipėdos r. sav., Kiškėnų k., Šutupio tak., mūrinis namas",139 990 €,"119,51 m²",6 a,2,2008,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,4,Artezinis,,,,ElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,RūbinėŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Dovilų mstl., mūrinis namas",125 000 €,105 m²,9 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,,,A++,Elektra,Plastikiniai vamzdžiaiRekuperacinė sistema,Šarvuotos durys,Terasa,
"Klaipėdos r. sav., Trušelių k., Liepų g., blokinis sublokuotas namas",119 000 €,64 m²,4 a,1,2023,Blokinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Klemiškės II k., Pumpurų g., mūrinis namas",153 000 €,85 m²,"4,02 a",1,2024,Mūrinis,Namas (gyvenamasis),Geoterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,9,4,Vietinis vandentiekis,,,A++,Asfaltuotas privažiavimasElektra,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,SignalizacijaŠarvuotos durys,Terasa,
"Klaipėdos r. sav., Klemiškės II k., Taurėlapių g., mūrinis sublokuotas namas",149 000 €,98 m²,5 a,1,2023,Mūrinis,Sublokuotas namas,Geoterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,,,A++,Asfaltuotas privažiavimasElektra,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,SignalizacijaŠarvuotos durys,Terasa,
"Klaipėda, Labrenciškės, mūrinis namas",205 000 €,245 m²,9 a,1,2000,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Derceklių k., Gervių g., mūrinis sodo namas",135 000 €,90 m²,6 a,1,2014,Mūrinis,Sodo namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Vietinis vandentiekis,Tvenkinys,,,Elektra,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Ūkiniai pastatai,
"Klaipėda, Mokykla, mūrinis namas",200 000 €,227 m²,"5,99 a",2,"1991 statyba, 1991 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Miesto vandentiekis,Upė,1 000,,Asfaltuotas privažiavimasElektraDujosKabelinė televizija,Su baldais,Aptverta teritorija,GaražasRūsysŪkiniai pastatai,
"Klaipėdos r. sav., Gargždų m., Užuovėjos g., mūrinis namas",165 000 €,85 m²,"4,5 a",1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Svencelės k., Vėjų g., mūrinis namas",1 500 000 €,"160,4 m²","4,99 a",2,2021,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,,Kraštinis sklypasAsfaltuotas privažiavimasSu pakrante,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,SignalizacijaVaizdo kameros,PirtisTerasa,
"Klaipėda, Trekas, Pakruojo g., mūrinis sublokuotas namas",290 000 €,239 m²,6 a,3,2000,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Saulažolių g., rąstinis namas",100 000 €,200 m²,15 a,2,2002,Rąstinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Tauralaukis, Vėjo g., mūrinis namas",250 000 €,"304,24 m²",15 a,1,"2008 statyba, 2020 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Trušelių k., Trempų g., mūrinis sublokuotas namas",190 000 €,110 m²,"5,5 a",2,2018,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Topolių g., mūrinis namas",280 000 €,"243,02 m²","10,22 a",2,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,,,,,,,,,
"Klaipėdos r. sav., Kiškėnų k., mūrinis namas",115 000 €,"173,76 m²","6,67 a",2,2005,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,,,D,ElektraInternetasKabelinė televizija,ŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,,RūsysTerasa,
"Klaipėdos r. sav., Girkalių k., Palangos g., mūrinis namas",90 000 €,159 m²,"18,48 a",2,1977,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Grumblių k., mūrinė sodyba",148 000 €,"181,86 m²",200 a,2,2019,Mūrinis,Sodyba,Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,7,,"Šulinys, vietinis vandentiekis",Upė,200,,Kraštinis sklypasElektra,,,GaražasRūbinėŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Gindulių k., Nektaro g., mūrinis namas",229 000 €,218 m²,25 a,2,2008,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,8,"Šulinys, vietinis vandentiekis",,,B,Kraštinis sklypas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,GaražasPirtisRūsysŪkiniai pastatai,4400-0129-2124
"Klaipėdos r. sav., Svencelės k., Nerijos g., mūrinis sublokuotas namas",150 000 €,58 m²,2 a,2,2023,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis, saulės energija",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,8,3,Vietinis vandentiekis,Ežeras,500,A+,Greta miškoElektra,,Aptverta teritorijaSignalizacija,Ūkiniai pastataiTerasa,
"Klaipėda, Labrenciškės, mūrinis namas",699 000 €,"217,4 m²",9 a,2,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,,,A+,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,GaražasTerasa,
"Klaipėdos r. sav., Slengių k., Klipščių g., mūrinis namas",255 000 €,"165,6 m²",7 a,2,2011,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Tvenkinys,400,A,Asfaltuotas privažiavimasElektraDujos,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasRūbinėŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Peskojų k., mūrinis namas",450 000 €,533 m²,30 a,1,2006,Mūrinis,Namas (gyvenamasis),"Skystu kuru, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Vietinis vandentiekis,Tvenkinys,20,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizijaSu pakrante,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Signalizacija,GaražasPirtisRūbinėŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Žiaukų k., Svarainių tak., mūrinis sodo namas",19 000 €,"43,2 m²",6 a,2,1974,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,20,,,,,,,,,,
"Klaipėdos r. sav., Kalotės k., Saulės g., mūrinis sublokuotas namas",260 000 €,"144,81 m²",3 a,2,2010,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,,,,,,
"Klaipėdos r. sav., Kulių k., Laukų 3-oji g., mūrinis namas",69 000 €,191 m²,"7,7 a",2,2019,Mūrinis,Namas (gyvenamasis),"Elektra, skystu kuru, geoterminis, aeroterminis, kietu kuru",Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,Tvenkinys,1 000,,Elektra,,,Garažas,
"Klaipėdos r. sav., Šlapšilės k., Lietaus g., mūrinis namas",157 900 €,93 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),"Geoterminis, aeroterminis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Vietinis vandentiekis,,,A+,Kraštinis sklypasElektra,Šildomos grindysRekuperacinė sistema,,,
"Klaipėda, Sportininkai, Beržų g., mūrinio namo dalis",180 000 €,"99,34 m²",6 a,2,"1936 statyba, 2009 renovacija",Mūrinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,12,4,Miesto vandentiekis,,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaŠarvuotos durys,Garažas,
"Klaipėda, Centras, Radviliškio g., mūrinis namas",280 000 €,"238,6 m²",6 a,2,2003,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,,Asfaltuotas privažiavimas,Su baldaisŽidinys,Aptverta teritorijaSignalizacija,GaražasPirtisRūsys,
"Klaipėdos r. sav., Slengių k., Smilgių g., mūrinis sublokuotas namas",197 000 €,"125,25 m²","3,7 a",2,2017,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Slengių k., Smilgių g., mūrinis sublokuotas namas",197 000 €,"125,5 m²","3,7 a",2,2017,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,11,4,,,,,,,,,
"Klaipėdos r. sav., Gargždų m., Priemiesčio g., mūrinis namas",97 000 €,"111,58 m²",70 a,1,"1920 statyba, 1983 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,,,,,,,,,,
"Klaipėdos r. sav., Trušelių k., Unguros g., mūrinis sublokuotas namas",174 999 €,93 m²,"2,2 a",2,2021,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1A K1,4,Miesto vandentiekis,,,A+,Asfaltuotas privažiavimasElektraDujos,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Terasa,
"Klaipėda, Mažasis kaimelis, Liepojos g., mūrinio namo dalis",210 000 €,101 m²,"4,4 a",2,"1964 statyba, 2013 renovacija",Mūrinis,Namo dalis,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Ežeras,150,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,RūbinėŪkiniai pastatai,
"Klaipėda, Giruliai, mūrinis sodo namas",110 000 €,80 m²,"5,36 a",1,1980,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Miesto vandentiekis,,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,,,RūsysŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Kalotės k., mūrinis namas",240 000 €,95 m²,6 a,1,2022,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Gručeikių k., Spengių g., mūrinis namas",362 000 €,"239,26 m²",118 a,2,"1935 statyba, 2003 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,8,,,,,,,,,,
"Klaipėdos r. sav., Purmalių k., Lubinų g., mūrinis namas",187 000 €,"113,27 m²","4,64 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,4,Miesto vandentiekis,Upė,200,A++,Asfaltuotas privažiavimas,Rekuperacinė sistema,Signalizacija,Terasa,
"Klaipėdos r. sav., Gargždų m., Smeltalės g., mūrinis namas",275 000 €,"157,51 m²",8 a,2,1999,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,,,,,,
"Klaipėdos r. sav., Derceklių k., Štormo g., mūrinis sodo namas",21 000 €,74 m²,6 a,3,1985,Mūrinis,Sodo namas,"Aeroterminis, kita",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,Elektra,,,Ūkiniai pastatai,
"Klaipėdos r. sav., Svencelės k., Šventkalnio g., karkasinis namas",259 000 €,100 m²,"9,87 a",2,2021,Karkasinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,Jūra,,,,Su baldais,,Terasa,
"Klaipėda, Melnragė, Nėgių g., mūrinis sublokuotas namas",364 000 €,205 m²,"3,5 a",3,2006,Mūrinis,Sublokuotas namas,"Aeroterminis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,Jūra,200,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasPirtisRūbinėTerasa,
"Klaipėda, Melnragė, Nėgių g., mūrinis sublokuotas namas",362 000 €,205 m²,"3,5 a",3,2006,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,14,5,Miesto vandentiekis,Jūra,200,,Asfaltuotas privažiavimas,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorija,GaražasTerasa,
"Klaipėdos r. sav., Trušelių k., Šilininkų g., mūrinis sublokuotas namas",139 000 €,87 m²,3 a,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Trušelių k., Ąžuolupės g., mūrinis sublokuotas namas",159 000 €,"92,55 m²","3,48 a",2,2017,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Vietinis vandentiekis,,,,Asfaltuotas privažiavimasElektraDujosInternetas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,RūbinėŪkiniai pastataiTerasa,
"Klaipėda, Melnragė, Molo g., mūrinis sublokuotas namas",320 000 €,247 m²,1 a,2,2002,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Miesto vandentiekis,Jūra,250,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,SignalizacijaŠarvuotos durys,GaražasPirtisRūbinėRūsys,
"Klaipėda, Kaunas, Skinijos g., mūrinis sublokuotas namas",400 000 €,"196,37 m²",4 a,3,2006,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,,,,,,
"Klaipėda, Rimkai, Ramunių g., mūrinis namas",245 000 €,"165,36 m²",11 a,2,2013,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,,,,,,
"Klaipėda, Tauralaukis, Medeinos g., mūrinis sublokuotas namas",200 000 €,100 m²,2 a,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,1A,4,Miesto vandentiekis,Tvenkinys,10,A+,Asfaltuotas privažiavimasElektra,Rekuperacinė sistema,,Terasa,
"Klaipėdos r. sav., Žiaukų k., Aronijų tak., mūrinis namas",116 000 €,"79,63 m²",6 a,2,1995,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,"Šulinys, vietinis vandentiekis",,,,Greta miškoAsfaltuotas privažiavimasElektra,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,GaražasPirtisTerasa,
"Klaipėda, Vėtrungė, Birutės g., mūrinis sublokuotas namas",320 000 €,"129,52 m²","2,4 a",2,2011,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,,,,,,
"Klaipėdos r. sav., Jakų k., Būrų g., mūrinis sublokuotas namas",223 000 €,167 m²,"6,5 a",2,2017,Mūrinis,Sublokuotas namas,Centrinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,48,,,,,,,,,,
"Klaipėdos r. sav., Karklės k., Placio g., mūrinis namas",445 000 €,"549,47 m²","11,43 a",2,"1990 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Kalotės k., Tinklų g., mūrinis namas",350 000 €,"258,85 m²",12 a,2,2007,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,8,Miesto vandentiekis,Jūra,,,Asfaltuotas privažiavimasElektraDujosInternetas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,GaražasRūbinėŪkiniai pastataiTerasa,
"Klaipėdos r. sav., Dovilų mstl., mūrinis namas",115 000 €,192 m²,16 a,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Baukštininkų k., Vasaros g., mūrinis namas",145 000 €,80 m²,5 a,1,2023,Mūrinis,Namas (gyvenamasis),"Dujinis, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėda, Trekas, mūrinis namas",310 000 €,422 m²,6 a,3,2008,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,,,,,,,,,
"Klaipėdos r. sav., Voveriškių k., mūrinis sublokuotas namas",122 000 €,116 m²,5 a,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,,,A++,ElektraInternetasKabelinė televizija,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,SignalizacijaŠarvuotos durys,Ūkiniai pastataiTerasa,
"Klaipėdos r. sav., Baukštininkų k., blokinis namas",145 000 €,80 m²,5 a,1,2023,Blokinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Miesto vandentiekis,,,A+,Asfaltuotas privažiavimas,,,,
"Klaipėdos r. sav., Agluonėnų k., Aukštujų g., mūrinis sublokuotas namas",79 000 €,"106,9 m²",12 a,2,"1984 statyba, 2018 renovacija",Mūrinis,Sublokuotas namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,10,4,Miesto vandentiekis,Tvenkinys,,,Asfaltuotas privažiavimas,,,Ūkiniai pastataiTerasa,
"Klaipėdos r. sav., Gvildžių k., Sominio g., mūrinis namas",260 000 €,"102,48 m²","9,59 a",1,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Vietinis vandentiekis,Upė,,A++,Greta miškoElektra,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,GaražasTerasa,
"Klaipėdos r. sav., Trušelių k., Arnavos g., mūrinis namas",250 000 €,130 m²,9 a,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Baukštininkų k., Vasaros g., mūrinis namas",145 000 €,80 m²,"5,5 a",1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Vietinis vandentiekis,,,,Asfaltuotas privažiavimasDujos,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,,
"Klaipėda, Plytinė, mūrinis namas",348 000 €,342 m²,"6,27 a",3,"1989 statyba, 2006 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,"Miesto vandentiekis, šulinys",,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaŠarvuotos durys,GaražasRūsys,
"Klaipėdos r. sav., Žemgrindžių k., Žemgrindžių g., mūrinis sublokuotas namas",60 000 €,70 m²,"14,53 a",1,1955,Mūrinis,Sublokuotas namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
