Adresas,Kaina,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Namo numeris:,Unikalus daikto numeris(RC numeris):
"Vilniaus r. sav., Didžiasalio k., Bitininkų g., mūrinis sublokuotas namas",220 000 €,107 m²,5 a,4,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,ElektraAsfaltuotas privažiavimas,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Didžiasalio k., Bitininkų g., mūrinis namas",315 000 €,167 m²,10 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,Asfaltuotas privažiavimas,GaražasTerasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Baronų k., Menų g., mūrinis sodo namas",65 000 €,86 m²,6 a,3,2,1982,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,ElektraAsfaltuotas privažiavimas,PirtisTerasa,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Balsiai, Europos Parko g., mūrinis sodo namas",210 000 €,80 m²,6 a,4,1,2024,Mūrinis,Sodo namas,Aeroterminis,Vietinis vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektra,Terasa,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Naujoji Vilnia, Jazminų g., mūrinis namas",300 000 €,300 m²,6 a,6,2,1993,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūsysŪkiniai pastatai,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Pakenės k., Vilnelės g., mūrinis namas",116 000 €,"171,59 m²",28 a,4,2,1971,Mūrinis,Namas (gyvenamasis),Skystu kuru,,Kita,,,Asfaltuotas privažiavimasElektra,,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,82,
"Vilniaus r. sav., Didžiasalio k., Trakto g., mūrinis sublokuotas namas",175 000 €,"126,21 m²","7,5 a",4,1,2023,Mūrinis,Sublokuotas namas,Geoterminis,Vietinis vandentiekis,Dalinė apdaila,,,Elektra,RūbinėTerasa,,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,62,
"Vilnius, Zujūnai, Gelažių g., mūrinis namas",1 049 900 €,"263,8 m²",9 a,5,2,2020,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,PirtisTerasa,Skalbimo mašinaSu baldaisŽidinys,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Aukštuolės k., Vakaro 8-oji g., mūrinis namas",79 000 €,"135,6 m²","6,13 a",,2,2018,Mūrinis,Namas (gyvenamasis),Kita,,Nebaigtas statyti,,,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Rasos, Alytaus g., rąstinis namas",250 000 €,"129,34 m²",20 a,,2,1940,Rąstinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Didžiosios Riešės k., Parko g., mūrinis namas",499 000 €,599 m²,28 a,9,3,2003,Mūrinis,Namas (gyvenamasis),Dujinis,"Artezinis, miesto vandentiekis",Įrengtas,Ežeras,,Asfaltuotas privažiavimasElektra,BaseinasGaražasPirtisRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Bajorų k., Jurginų g., mūrinis namas",450 000 €,211 m²,"5,7 a",5,2,2015,Mūrinis,Namas (gyvenamasis),Dujinis,Artezinis,Įrengtas,,,Asfaltuotas privažiavimas,GaražasTerasa,Su baldaisŽidinys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Fabijoniškės, Fabijoniškių g., mūrinis namas",580 000 €,215 m²,"2,38 a",4,2,2007,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimas,GaražasTerasa,KondicionieriusSu baldaisRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Brinkiškių k., Vilnojos 7-oji g., karkasinis sodo namas",53 000 €,"48,22 m²",6 a,2,2,2013,Karkasinis,Sodo namas,Kita,Kita,Įrengtas,Tvenkinys,10,Elektra,Terasa,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,
"Vilnius, Salininkai, Kelmijos Sodų 25-oji g., medinis sodo namas",40 000 €,"37,15 m²","8,7 a",,1,2007,Medinis,Sodo namas,Kita,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Valakampiai, Nemenčinės pl., mūrinis sublokuotas namas",785 000 €,"271,72 m²","5,33 a",5,3,2018,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,Kraštinis sklypasElektraDujosInternetasKabelinė televizijaAsfaltuotas privažiavimas,GaražasPirtisTerasa,Skalbimo mašinaSu baldaisŽidinys,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Antakalnis, Pupojų Sodų 10-oji g., mūrinis namas",285 000 €,"138,63 m²","6,17 a",4,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, geoterminis, aeroterminis, dujinis, kita",Artezinis,Dalinė apdaila,Ežeras,500,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,13,
"Vilniaus r. sav., Rudaminos k., Aušros g., mūrinis namas",279 000 €,"230,08 m²","24,44 a",5,2,1989,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pilaitė, Papiškių g., mūrinis sublokuotas namas",235 000 €,150 m²,"5,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Dalinė apdaila,,,Asfaltuotas privažiavimasElektra,GaražasRūbinėTerasa,,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Pilaitė, Papiškių g., mūrinis sublokuotas namas",299 900 €,140 m²,5 a,,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Platiniškių k., Saulės g., mūrinis sublokuotas namas",369 000 €,174 m²,"7,5 a",6,2,2019,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,ElektraInternetas,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasViryklėIndaplovė,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Balsiai, Kaukų g., mūrinio namo dalis",60 450 €,40 m²,10 a,,2,1992,Mūrinis,Namo dalis,Dujinis,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,30,
"Vilnius, Aukštieji Paneriai, Antano Gudaičio g., mūrinis sublokuotas namas",335 000 €,"130,3 m²","4,5 a",4,2,2021,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Tvenkinys,30,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,48,
"Vilnius, Senamiestis, Pylimo g., mūrinis sublokuotas namas",500 000 €,148 m²,3 a,,2,2020,Mūrinis,Sublokuotas namas,Kita,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Senamiestis, Pylimo g., mūrinis sublokuotas namas",610 000 €,139 m²,3 a,,2,2020,Mūrinis,Sublokuotas namas,Kita,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Salininkai, Sebastijoniškių g., karkasinis sublokuotas namas",239 000 €,128 m²,"9,18 a",4,1,2015,Karkasinis,Sublokuotas namas,"Elektra, aeroterminis, kietu kuru, saulės energija",Artezinis,Įrengtas,,,ElektraInternetas,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,17,
"Vilniaus r. sav., Blūdikalnio vs., Blūdikalnio g., mūrinis namas",450 000 €,193 m²,18 a,6,2,2021,Mūrinis,Namas (gyvenamasis),"Elektra, geoterminis, saulės energija",Vietinis vandentiekis,Įrengtas,Upė,10,Kraštinis sklypasGreta miškoElektraInternetasKabelinė televizijaSu pakrante,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,SignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,41,
"Vilnius, Jaunystės g., mūrinis namas",215 000 €,"116,4 m²",6 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,,,Elektra,RūbinėTerasa,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Aukštieji Paneriai, Jaunystės g., mūrinis namas",215 000 €,"116,4 m²",6 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,,,Elektra,RūbinėTerasa,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,118L,
"Vilnius, Pagiriai, Jaunystės g., mūrinis namas",215 000 €,"116,4 m²",6 a,,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,,,Elektra,RūbinėTerasa,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,118L,
"Vilnius, Antakalnis, Vismaliukų Sodų 5-oji g., mūrinis sodo namas",110 000 €,400 m²,"11,3 a",4,2,2007,Mūrinis,Sodo namas,Kita,,Neįrengtas,Tvenkinys,,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūsys,,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,19,
"Vilnius, Balsiai, Krakiškių Sodų 15-oji g., mūrinis namas",75 000 €,"122,34 m²","9,57 a",4,2,1990,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Akmeniškių k., Audros 1-oji g., mūrinis namas",79 000 €,"74,19 m²",12 a,2,2,2013,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru",Artezinis,Įrengtas,Ežeras,,Kraštinis sklypasGreta miškoElektra,GaražasRūbinėRūsysŪkiniai pastataiTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,201,
"Vilniaus r. sav., Galgių k., M. Koperniko g., mūrinis namas",157 570 €,61 m²,"3,23 a",3,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Pašilių k., Eglių g., mūrinis namas",449 000 €,"167,96 m²","17,75 a",,2,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, saulės energija",Artezinis,Įrengtas,,,Greta miškoElektra,Garažas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Buivydiškių k., Sūduvių g., mūrinio namo dalis",168 000 €,92 m²,10 a,3,3,2005,Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Tvenkinys,200,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėRūsys,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Skliausčių k., medinė sodyba",120 000 €,"58,48 m²","133,05 a",3,2,2010,Medinis,Sodyba,Kietu kuru,,Įrengtas,,,ElektraInternetas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Naujoji Vilnia, Ateities Sodų 4-oji g., karkasinis sodo namas",219 000 €,80 m²,6 a,4,1,2023,Karkasinis,Sodo namas,Elektra,Vietinis vandentiekis,Įrengtas,,,Elektra,Ūkiniai pastataiTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Galgiai, Ateities Sodų 4-oji g., skydinis sodo namas",219 000 €,80 m²,"5,65 a",4,1,2023,Skydinis,Sodo namas,Elektra,Vietinis vandentiekis,Įrengtas,,,Elektra,Ūkiniai pastataiTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilniaus r. sav., Bukiškio k., Giminaičių g., mūrinis sublokuotas namas",340 000 €,166 m²,7 a,4,2,2017,Mūrinis,Sublokuotas namas,Dujinis,Vietinis vandentiekis,Įrengtas,,,ElektraDujosInternetasKabelinė televizija,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėRekuperacinė sistema,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,B,11,
"Vilnius, Salininkai, Sakalaičių Sodų 7-oji g., mūrinis namas",260 000 €,"112,38 m²",11 a,5,1,2013,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Pilaitė, J. Bretkūno g., blokinis sublokuotas namas",158 000 €,76 m²,5 a,4,1,2024,Blokinis,Sublokuotas namas,Geoterminis,,Dalinė apdaila,Tvenkinys,20,Asfaltuotas privažiavimasElektra,Terasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,40,
"Vilnius, Naujininkai, Eišiškių Sodų 16-oji g., mūrinis sodo namas",110 000 €,"114,64 m²",6 a,,2,1988,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,40,
"Vilnius, Antakalnis, Garšvų g., mūrinis sublokuotas namas",265 000 €,"85,98 m²",4 a,4,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasElektra,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,2,
"Vilnius, Balsiai, Krakiškių g., monolitinis namas",199 911 €,157 m²,"4,25 a",5,2,2023,Monolitinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,ElektraAsfaltuotas privažiavimas,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,
"Vilnius, Zujūnai, Liepų g., mūrinis namas",139 000 €,"129,14 m²","17,7 a",,1,1981,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Su baldaisVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,
"Vilnius, Balsiai, Senolių g., karkasinis namas",470 000 €,280 m²,10 a,5,2,2006,Karkasinis,Namas (gyvenamasis),Centrinis kolektorinis,,Įrengtas,,,,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Vilkpėdė, Jankiškių g., medinis namas",120 000 €,"56,04 m²","6,35 a",,1,1940,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,31,
"Vilnius, Salininkai, Barčių g., medinis sodo namas",26 000 €,24 m²,"0,54 a",,1,1972,Medinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,10D,
"Vilniaus r. sav., Pikutiškių k., Jonažolių g., mūrinis sublokuotas namas",239 000 €,115 m²,5 a,,1,2024,Mūrinis,Sublokuotas namas,"Elektra, geoterminis",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Trakų Vokė, Žiežmarių g., mūrinis namas",275 000 €,180 m²,7 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Dalinė apdaila,,,Greta miškoAsfaltuotas privažiavimasElektra,GaražasRūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,25,
"Vilniaus r. sav., Genių k., Taikos g., medinis namas",29 000 €,57 m²,163 a,,1,1940,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,22,
"Vilniaus r. sav., Paliepių k., Lyglaukių g., blokinis sublokuotas namas",240 000 €,101 m²,"7,5 a",,1,2017,Blokinis,Sublokuotas namas,"Elektra, saulės energija, kita",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Antakalnis, Svajonių g., rąstinė namo dalis",249 000 €,"72,27 m²","6,5 a",,1,1940,Rąstinis,Namo dalis,Kietu kuru,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,18,
"Vilnius, Pilaitė, Ragainės g., mūrinis namas",580 000 €,"215,5 m²","10,07 a",5,2,2017,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Avižienių k., Ąžuolų g., mūrinis namas",280 000 €,"203,92 m²","16,34 a",5,2,1993,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru","Artezinis, miesto vandentiekis",Įrengtas,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,PirtisRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaŠaldytuvasViryklėIndaplovė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,12,
"Vilnius, Žvėrynas, Paribio g., mūrinis sublokuotas namas",398 000 €,"112,73 m²","3,58 a",4,2,2011,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsys,Skalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Vilkpėdė, Vaduvos g., mūrinis namas",349 000 €,140 m²,"4,3 a",4,2,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis, kita",Miesto vandentiekis,Dalinė apdaila,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,Šildomos grindys,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Riešės k., Miško g., mūrinis sublokuotas namas",194 944 €,"105,72 m²",2 a,4,1,"2013 statyba, 2022 renovacija",Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Vaidotų k., Rėvos g., mūrinis namas",190 000 €,130 m²,"7,5 a",4,1,2022,Mūrinis,Namas (gyvenamasis),Geoterminis,Miesto vandentiekis,Dalinė apdaila,Upė,50,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,15,
"Vilnius, Naujininkai, Dzūkų g., mūrinis namas",780 000 €,"268,93 m²","6,74 a",,2,2020,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasInternetas,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilnius, Naujoji Vilnia, Šiaurės Sodų 1-oji g., mūrinis namas",62 000 €,138 m²,"5,5 a",6,3,2010,Mūrinis,Namas (gyvenamasis),Kita,Artezinis,Neįrengtas,,,Elektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,14,
"Vilniaus r. sav., Bildžių k., medinis namas",105 000 €,"104,39 m²",35 a,3,1,1980,Medinis,Namas (gyvenamasis),Centrinis,Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,ŠaldytuvasVirtuvės komplektas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Buivydiškių k., Sembų g., mūrinis namas",1 170 000 €,305 m²,"44,41 a",5,2,2012,Mūrinis,Namas (gyvenamasis),Geoterminis,Artezinis,Įrengtas,Ežeras,350,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,BaseinasGaražasPirtisRūbinėŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Airėnų II k., Kernavės kel., mūrinis namas",300 000 €,"90,68 m²",683 a,4,1,2015,Mūrinis,Namas (gyvenamasis),Kietu kuru,Artezinis,Įrengtas,Upė,,Kraštinis sklypasAsfaltuotas privažiavimasElektra,Ūkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
