Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Panevėžio r. sav., Bygailių k., Vingio g., mūrinis namas",279 000 €,7,"483,81 m²","35,72 a",14,2,"1973 statyba, 2009 renovacija",Mūrinis,Namas (gyvenamasis),Centrinis,"Šulinys, vietinis vandentiekis",Įrengtas,Greta miškoElektra,BaseinasPirtisRūbinėŪkiniai pastataiTerasa,Su baldaisVirtuvės komplektasŽidinys,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Kaubariškio k., Taikos al., mūrinis sodo namas",14 000 €,8,"24,35 m²",6 a,,1,1990,Mūrinis,Sodo namas,Kita,Šulinys,Įrengtas,Greta miškoElektra,Rūsys,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Dragonių k., Dragonių g., rąstinė sodyba",65 000 €,39,"73,25 m²","39,34 a",3,1,1970,Rąstinis,Sodyba,"Kietu kuru, kita",Šulinys,Įrengtas,Kraštinis sklypasGreta miškoElektra,PirtisRūsysŪkiniai pastataiTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Daniūnų k., Pievų g., mūrinis namas",55 500 €,,92 m²,"25,16 a",3,1,1988,Mūrinis,Namas (gyvenamasis),Skystu kuru,Vietinis vandentiekis,Įrengtas,Elektra,GaražasPirtisRūsysŪkiniai pastataiTerasa,Su baldaisŠaldytuvasPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Navaršonių k., Navaršonių g., rąstinis namas",135 000 €,,"109,31 m²",44 a,4,2,2003,Rąstinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Asfaltuotas privažiavimasElektraInternetasKabelinė televizijaSu pakrante,Ūkiniai pastatai,ŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,10,
"Panevėžio r. sav., Kaubariškio k., Beržyno al., mūrinis namas",103 000 €,2,"64,03 m²","6,36 a",,1,2020,Mūrinis,Namas (gyvenamasis),"Aeroterminis, kietu kuru",Šulinys,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,RūsysŪkiniai pastataiTerasa,KondicionieriusŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Katinų k., Paberžių g., mūrinis sublokuotas namas",30 900 €,,"78,73 m²",16 a,,2,1976,Mūrinis,Sublokuotas namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Šilokų g., mūrinis sodo namas",15 000 €,,"9,59 m²","5,69 a",1,1,1976,Mūrinis,Sodo namas,Elektra,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, K. Donelaičio g., karkasinis namas",230 000 €,,130 m²,"6,05 a",4,2,2005,Karkasinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Linonių k., Upelio g., mūrinis sodo namas",21 000 €,,50 m²,6 a,,2,1996,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Smiltynės vs., Sodyba",2 400 000 €,7,"2080,57 m²",300 a,,3,2008,Kita,Sodyba,"Centrinis, aeroterminis, dujinis, saulės energija",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Krekenavos mstl., Kęstučio g., rąstinė namo dalis",1 100 €,30,"35,15 m²","0,1 a",2,1,1900,Rąstinis,Namo dalis,Kita,,Kita,Varžytynės/aukcionas,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,6690-0012-0019
"Panevėžys, Stetiškiai, Sūkurio g., mūrinis namas",155 000 €,11A,"147,38 m²","7,5 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Dalinė apdaila,Elektra,Garažas,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
"Panevėžio r. sav., Tičkūnų k., Slyvų g., mūrinis sodo namas",43 000 €,2,65 m²,5 a,2,1,2003,Mūrinis,Sodo namas,"Elektra, kietu kuru",Vietinis vandentiekis,Kita,Kraštinis sklypasAsfaltuotas privažiavimas,Pirtis,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Skaistakalnis, Ąžuolų g., rąstinis namas",89 000 €,24,160 m²,6 a,5,1,1997,Rąstinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Kita,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Pelkių g., mūrinio namo dalis",50 000 €,,"152,1 m²",3 a,6,1,1973,Mūrinis,Namo dalis,"Centrinis, kietu kuru",Miesto vandentiekis,Kita,Asfaltuotas privažiavimas,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Ramygalos g., rąstinė namo dalis",19 000 €,,33 m²,1 a,1,2,1995,Rąstinis,Namo dalis,"Centrinis, dujinis",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Vakario g., mūrinis namas",135 000 €,4,"373,96 m²","6,3 a",,1,1998,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Miesto vandentiekis,Įrengtas,Kraštinis sklypas,GaražasPirtisRūbinėRūsys,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Elnio al., medinis namas",65 000 €,,"65,67 m²",6 a,2,1,2020,Medinis,Namas (gyvenamasis),Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Ryto g., mūrinis namas",269 000 €,8,"198,95 m²","6,47 a",5,1,1994,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,BaseinasPirtisRūbinėRūsysŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Piniavos k., Pilėnų g., mūrinis namas",79 000 €,41,264 m²,15 a,4,2,1996,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, kietu kuru","Miesto vandentiekis, šulinys",Nebaigtas statyti,Greta miškoAsfaltuotas privažiavimasElektraDujos,BaseinasGaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Pušyno g., rąstinė namo dalis",23 000 €,10,"29,55 m²",2 a,1,1,1976,Rąstinis,Namo dalis,Dujinis,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,Su baldaisŠaldytuvasVirtuvės komplektas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Liublino g., Namas (gyvenamasis)",168 000 €,38,132 m²,6 a,,1,2023,Kita,Namas (gyvenamasis),Kita,Miesto vandentiekis,Dalinė apdaila,,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vaivadų k., M. Grigonio g., mūrinio namo dalis",108 900 €,18,"126,82 m²","7,95 a",4,2,1974,Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,SignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vilkapjūvių k., Vilktupio g., mūrinis namas",500 000 €,8,266 m²,26 a,5,2,"2012 statyba, 2021 renovacija",Mūrinis,Namas (gyvenamasis),"Skystu kuru, dujinis, kita",Artezinis,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,300,
"Panevėžio r. sav., Karšinaukos k., Juostos g., mūrinis namas",265 000 €,,"256,37 m²",22 a,5,2,2014,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Pilėnai, Pilėnų g., mūrinis sublokuotas namas",139 000 €,46,302 m²,"6,55 a",,2,1995,Mūrinis,Sublokuotas namas,"Dujinis, saulės energija, kita",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Stetiškių k., Pamolainių g. 3-iasis aklg., mūrinis namas",125 000 €,8,"125,99 m²","11,69 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Kita,Artezinis,Dalinė apdaila,Elektra,Garažas,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Žemaičiai, Staniūnų g., mūrinio namo dalis",37 000 €,,38 m²,"3,59 a",2,2,1967,Mūrinis,Namo dalis,"Centrinis, dujinis",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Dembavos k., Nevėžio g., mūrinis sublokuotas namas",195 000 €,43,"152,41 m²","2,37 a",4,2,2007,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,300,
"Panevėžys, Centras, A. Mackevičiaus g., rąstinė namo dalis",25 000 €,,"38,8 m²","1,15 a",2,1,1892,Rąstinis,Namo dalis,Kietu kuru,,Įrengtas,ElektraAsfaltuotas privažiavimas,Garažas,Su baldais,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Dembavos k., Jaunimo g., mūrinis sublokuotas namas",90 000 €,,"290,67 m²","12,94 a",5,2,1993,Mūrinis,Sublokuotas namas,Dujinis,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Algirdo g., rąstinė namo dalis",29 900 €,,"46,56 m²","4,22 a",2,2,"1960 statyba, 2013 renovacija",Rąstinis,Namo dalis,Kietu kuru,Šulinys,Įrengtas,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Sodų g., medinio namo dalis",48 000 €,,"90,64 m²","5,57 a",6,2,1920,Medinis,Namo dalis,Centrinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Upės g., rąstinė namo dalis",40 000 €,32,"60,65 m²","6,115 a",2,1,1971,Rąstinis,Namo dalis,Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvas,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Darbininkų g., rąstinis namas",135 000 €,17,158 m²,"6,26 a",,1,1955,Rąstinis,Namas (gyvenamasis),"Centrinis, dujinis","Miesto vandentiekis, šulinys",Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,Garažas,Skalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžys, Rožės, Smėlynės g., blokinis namas",238 000 €,158A,"125,24 m²","6,08 a",4,2,2009,Blokinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasElektraDujosInternetas,PirtisRūbinėŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Skaistakalnis, Velžio kel., mūrinis namas",47 000 €,,74 m²,6 a,,1,1979,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Kita,Asfaltuotas privažiavimasElektraDujos,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Skaistakalnis, Šermukšnių g., rąstinis namas",43 000 €,13,"69,76 m²","8,76 a",3,1,1940,Rąstinis,Namas (gyvenamasis),"Centrinis, kietu kuru, kita",,Kita,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Berčiūnų k., Tvenkinio g., mūrinis namas",215 000 €,,130 m²,25 a,,1,2012,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraSu pakrante,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,SignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Molainių k., Sodžiaus g., mūrinis namas",61 000 €,,"140,56 m²","12,76 a",,1,2022,Mūrinis,Namas (gyvenamasis),"Dujinis, kita",Miesto vandentiekis,Pamatai,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,Garažas,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Kaubariškio k., Lanko al., rąstinis namas",36 000 €,,58 m²,6 a,,2,2017,Rąstinis,Namas (gyvenamasis),"Kietu kuru, kita",Šulinys,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektra,PirtisTerasa,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Naujikų k., Kampo g., mūrinis sodo namas",43 000 €,14,"58,89 m²","6,31 a",2,1,1985,Mūrinis,Sodo namas,Kita,Vietinis vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,GaražasRūsys,Su baldaisŠaldytuvasVirtuvės komplektasŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,200,
"Panevėžio r. sav., Bernatonių k., Putino al., rąstinis sodo namas",7 500 €,27,50 m²,6 a,,1,1970,Rąstinis,Sodo namas,Kietu kuru,"Šulinys, vietinis vandentiekis",Dalinė apdaila,Greta miško,Ūkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,500,
"Panevėžio r. sav., Uliūnų k., Alyvų g., rąstinis namas",230 000 €,2,"110,04 m²",25 a,4,1,2015,Rąstinis,Namas (gyvenamasis),"Elektra, kietu kuru",Miesto vandentiekis,Įrengtas,Elektra,GaražasPirtis,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Daukniškių k., Vakario g., mūrinis sodo namas",24 000 €,17,"111,65 m²","11,6 a",3,1,2011,Mūrinis,Sodo namas,Kita,Vietinis vandentiekis,Neįrengtas,Elektra,GaražasRūsys,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Vyčių k., Žvalgų g., Sublokuotas namas",159 000 €,,"146,41 m²","7,31 a",4,2,2022,Kita,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,
"Panevėžio r. sav., Geležių k., Varpo g., medinė sodyba",20 000 €,27,"57,89 m²",15 a,,1,1962,Medinis,Sodyba,Kietu kuru,Vietinis vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Nevėžio g., rąstinis namas",33 000 €,28,"104,56 m²","6,83 a",4,1,1925,Rąstinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Neįrengtas,Asfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Naujikų k., Lėvens g., mūrinis namas",77 700 €,19,"172,38 m²","9,73 a",4,1,2016,Mūrinis,Namas (gyvenamasis),"Kietu kuru, kita",Vietinis vandentiekis,Dalinė apdaila,Elektra,GaražasTerasa,Plastikiniai vamzdžiai,SignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,200,
"Panevėžio r. sav., Adomavos k., Birželių g., karkasinis namas",165 000 €,,"122,11 m²",152 a,3,1,2019,Karkasinis,Namas (gyvenamasis),Elektra,Vietinis vandentiekis,Įrengtas,ElektraInternetasSu pakrante,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,B,Tvenkinys,10,
"Panevėžio r. sav., Dembavos k., Vingiuotoji g., mūrinis namas",219 000 €,8,211 m²,"20,67 a",4,2,2013,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, kita",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasDujosInternetas,GaražasRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Krekenavos mstl., Švenčiūliškių g., rąstinis namas",37 000 €,16A,62 m²,"19,7 a",,1,1920,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vadoklių mstl., Statybininkų g., mūrinis namas",35 000 €,31,"114,07 m²",15 a,4,1,1980,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Molainių k., Birutės skg., mūrinis namas",150 700 €,1,"180,67 m²","19,52 a",5,1,"2012 statyba, 2018 renovacija",Mūrinis,Namas (gyvenamasis),Centrinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Bernatonių k., Lokio al., rąstinis sodo namas",65 000 €,,"53,73 m²",18 a,2,2,2001,Rąstinis,Sodo namas,"Elektra, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūsysŪkiniai pastatai,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, A. Mackevičiaus g., rąstinis namas",59 000 €,37,"60,93 m²","5,64 a",3,1,1948,Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Kita,,GaražasŪkiniai pastatai,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vyčių k., Sodų g., mūrinis namas",180 000 €,,"248,95 m²",83 a,6,2,2009,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Linonių k., Vaivos g., medinis sodo namas",12 000 €,,"17,28 m²",12 a,,1,2007,Medinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Kraštinis sklypasElektra,,Su baldaisŠaldytuvas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,120,
"Panevėžio r. sav., Janališkių k., Uosių g., karkasinis sodo namas",28 500 €,3,50 m²,"5,97 a",,1,2023,Karkasinis,Sodo namas,Elektra,Vietinis vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,Terasa,Kondicionierius,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžys, Centras, Vaižganto g., rąstinė namo dalis",47 000 €,,"68,72 m²","4,34 a",3,1,1948,Rąstinis,Namo dalis,"Centrinis, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Berniūnų k., Leono Valkūno g., mūrinis namas",83 500 €,3,80 m²,15 a,,1,2017,Mūrinis,Namas (gyvenamasis),"Kietu kuru, kita",Šulinys,Dalinė apdaila,Kraštinis sklypasElektra,Terasa,,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,
"Panevėžio r. sav., Juodlieknio k., Smėlyno g., mūrinis sodo namas",17 500 €,,"59,99 m²","5,8 a",,1,1983,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,Elektra,Rūsys,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Staniūnų k., Giraitės g., mūrinis namas",145 000 €,,139 m²,9 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,ElektraAsfaltuotas privažiavimas,Garažas,,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
